Iteration No.,w0,w1,w2,w3
0,1.0,1.0,1.0,1.0
1,0.8,-2.042,0.5587653685395944,0.968
2,1.0,-1.65,0.954745166004061,1.168
3,0.8,-1.652,1.0480832611206854,-1.01
4,1.0,-1.202,1.2602152954766497,-0.96
5,1.2,-0.9139999999999999,0.7510984130223355,-0.51
6,1.4,-0.7859999999999999,0.5248242430426402,-0.31
7,1.2,-1.0739999999999998,-0.3915861453751255,-1.7680000000000002
8,1.4,-0.6239999999999999,-0.1794541110191612,-1.7180000000000002
9,1.5999999999999999,-0.3359999999999999,-0.6885709934734754,-1.2680000000000002
10,1.7999999999999998,0.05600000000000005,-0.29259119600900874,-1.0680000000000003
11,1.5999999999999999,-1.1445000000000003,-0.22329473145272705,-1.0700000000000003
12,1.7999999999999998,-0.6945000000000003,-0.011162697096762764,-1.0200000000000002
13,1.9999999999999998,-0.40650000000000036,-0.520279579551077,-0.5700000000000003
14,2.1999999999999997,-0.014500000000000401,-0.1242997820866103,-0.3700000000000003
15,1.9999999999999998,-1.2150000000000007,-0.055003317530328624,-0.3720000000000003
16,2.1999999999999997,-0.7650000000000008,0.15712871682563567,-0.3220000000000003
17,2.4,-0.4770000000000008,-0.3519881656286785,0.12799999999999973
18,2.1999999999999997,-0.4790000000000008,-0.25865007051205424,-2.0500000000000003
19,2.4,-0.19100000000000084,-0.7677669529663684,-1.6000000000000003
20,2.6,0.20099999999999912,-0.3717871555019018,-1.4000000000000004
21,2.4,-0.9995000000000012,-0.3024906909456201,-1.4020000000000004
22,2.6,-0.5495000000000012,-0.0903586565896558,-1.3520000000000003
23,2.8000000000000003,-0.26150000000000123,-0.59947553904397,-0.9020000000000004
24,2.6,-1.4620000000000015,-0.5301790744876883,-0.9040000000000004
25,2.8000000000000003,-1.0120000000000016,-0.318047040131724,-0.8540000000000003
26,3.0000000000000004,-0.6200000000000017,0.07793275733274263,-0.6540000000000004
